id;Type;Toetsparameter;ParameterNaam;ParameterBeschrijving;Data aanwezig in Scheldemonitor;Parameter Name in Scheldemonitor;Parameter Ids in Scheldemonitor;url;Dataset name;Opmerkingen data beschikbaarheid;R script geschreven om data in te lezen;Opmerkingen script;Scheldemonitor;Datafiche_ls
10;=;=;=;=;nee;;;;;;n.v.t.;n.v.t.;nee;
11;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Waterhoogte in m;5385;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%285385%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-V-001
12;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Hoog-en laagwater in cm TAW;1225;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%281225%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 907167 #kolommen: 11 kolommen,             min ts: 1878-03-01T13:37:30 max ts: 2011-12-31T20:57:00, minval: -124, maxval 740,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
13;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Hoeksnelheid in graden per uur;2437;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282437%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.041069, maxval 175.936417,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
14;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Amplitude in cm;2438;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282438%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.003, maxval 216.326,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
15;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Fase (g) in graden tov MET;2439;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282439%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.02, maxval 359.99,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
16;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Hoog-en laagwater in cm MSL;2587;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282587%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 41428 #kolommen: 11 kolommen,             min ts: 1983-01-01T04:07:00 max ts: 2016-01-01T00:51:00, minval: -191, maxval 265,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
17;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Hoog-en laagwater in cm+NAP;2832;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282832%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 578295 #kolommen: 11 kolommen,             min ts: 1862-01-01T00:17:30 max ts: 2019-12-31T23:41:00, minval: -371, maxval 560,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
18;VP;voor meerdere TP's van belang;Jaargemiddelde getijslag;Jaargemiddelde verschil tussen hoogwater en laagwater;ja;Waterstand in cm+NAP gemeten per 10min;9679;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%289679%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
19;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Waterhoogte in m;5385;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%285385%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-V-001
20;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Hoog-en laagwater in cm TAW;1225;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%281225%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 907167 #kolommen: 11 kolommen,             min ts: 1878-03-01T13:37:30 max ts: 2011-12-31T20:57:00, minval: -124, maxval 740,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
21;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Hoeksnelheid in graden per uur;2437;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282437%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.041069, maxval 175.936417,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
22;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Amplitude in cm;2438;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282438%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.003, maxval 216.326,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
23;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Fase (g) in graden tov MET;2439;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282439%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 33323 #kolommen: 11 kolommen,             min ts: 1911-01-01T00:00:00 max ts: 2019-01-01T01:00:00, minval: 0.02, maxval 359.99,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
24;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Hoog-en laagwater in cm MSL;2587;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282587%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 41428 #kolommen: 11 kolommen,             min ts: 1983-01-01T04:07:00 max ts: 2016-01-01T00:51:00, minval: -191, maxval 265,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
25;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Hoog-en laagwater in cm+NAP;2832;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%282832%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 578295 #kolommen: 11 kolommen,             min ts: 1862-01-01T00:17:30 max ts: 2019-12-31T23:41:00, minval: -371, maxval 560,             dataproviders: RWS - Rijkswaterstaat            ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
26;RP;Hoogwater;Jaarlijks 99e percentiel hoogwater;Het niveau dat (jaarlijks) door 1% van de hoogwaters wordt overschreden.;ja;Waterstand in cm+NAP gemeten per 10min;9679;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%289679%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Waterstanden - Getij;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;"leest beschikbare data in en bepaalt jaargemiddelde hoog- en laagwater
voor een opgegeven tijdsperiode in de url";ja;S-HD-N-001
27;RP;Golven;Jaargemiddelde significante golfhoogte H_1/3;Jaargemiddelde significante golfhoogte Hs of H_1/3, het gemiddelde van de 33% grootste golven per 30 minuten.;nee;;;;Golfwerking;;ja;script leest waarden in en telt aantal records ieder jaar;ja;S-HD-V-006
28;RP;Golven;Jaargemiddelde significante golfhoogte H_1/3;Jaargemiddelde significante golfhoogte Hs of H_1/3, het gemiddelde van de 33% grootste golven per 30 minuten.;ja;Frequentie waar het energiespectrum maximaal is in Hz in oppervlaktewater;1806;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%281806%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Golven;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;script leest waarden in en telt aantal records ieder jaar;ja;S-HD-N-006
29;RP;Golven;Jaargemiddelde significante golfhoogte H_1/3;Jaargemiddelde significante golfhoogte Hs of H_1/3, het gemiddelde van de 33% grootste golven per 30 minuten.;ja;Gemiddelde golfperiode uit spectrale momenten m0+m2 van 30-1000 mHz in s in oppervlaktewater;1813;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%281813%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Golven;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;script leest waarden in en telt aantal records ieder jaar;ja;S-HD-N-006
30;RP;Golven;Jaargemiddelde significante golfhoogte H_1/3;Jaargemiddelde significante golfhoogte Hs of H_1/3, het gemiddelde van de 33% grootste golven per 30 minuten.;ja;Gemiddelde golfhoogte in cm in oppervlaktewater;1814;http://geo.vliz.be/geoserver/wfs/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=Dataportal%3Aabiotic_observations&resultType=results&viewParams=where%3Aobs.context+%26%26+ARRAY%5B1%5D+AND+standardparameterid+IN+%281814%29%3Bcontext%3A0001%3Bloggedin%3A1&propertyName=stationname%2Clongitude%2Clatitude%2Cdatetime%2Cdepth%2Cparametername%2Cvaluesign%2Cvalue%2Cdataprovider%2Cdatasettitle&outputFormat=csv; Golven;url werkt, #rijen: 0 #kolommen: 11 kolommen,             min ts: nan max ts: nan, minval: nan, maxval nan,             dataproviders:             ;ja;script leest waarden in en telt aantal records ieder jaar;ja;S-HD-N-006
